

Industry,Year,Nominal_Value,Price_Index,Real_Value
Space economy1,2012,110992,108.853,101965.0354
    Private industries,2012,90312,113.087,79860.63827
        Mining,2012,50,94.206,53.07517568
            Oil and gas extraction,2012,37,94.219,39.27021089
"            Mining, except oil and gas",2012,0,99.838,0
            Support activities for mining,2012,13,94.252,13.79281076
        Utilities,2012,1,104.662,0.955456613
        Construction,2012,229,86.315,265.3073046
        Manufacturing,2012,34461,142.443,24192.83503
            Durable goods,2012,34033,142.941,23809.12404
                Wood products,2012,20,93.84,21.31287298
                Nonmetallic mineral products,2012,51,95.153,53.59788971
                Primary metals,2012,47,94.319,49.83089303
                Fabricated metal products,2012,243,93.633,259.5238858
                Machinery,2012,779,94.74,822.2503694
                Computer and electronic products2,2012,21899,182.754,11982.77466
"                Electrical equipment, appliances, and components",2012,635,103.766,611.9538192
"                Motor vehicles, bodies and trailers, and parts",2012,2,117.021,1.709094949
                Other transportation equipment3,2012,9798,96.108,10194.78087
                Furniture and related products,2012,16,94.111,17.00120071
                Miscellaneous manufacturing,2012,543,94.15,576.7392459
            Nondurable goods,2012,427,101.781,419.5282027
                Food and beverage and tobacco products,2012,211,94.264,223.8394297
                Textile mills and textile product mills,2012,8,97.752,8.183975775
                Apparel and leather and allied products,2012,2,105.725,1.891700166
                Paper products,2012,9,96.272,9.348512548
                Printing and related support activities,2012,3,171.538,1.748883629
                Petroleum and coal products,2012,43,94.089,45.70141037
                Chemical products,2012,50,489.948,10.20516463
                Plastics and rubber products,2012,102,96.97,105.1871713
        Wholesale trade,2012,16804,115.931,14494.82882
        Retail trade,2012,190,86.722,219.0908881
            Motor vehicle and parts dealers,2012,1,103.247,0.968551144
            Food and beverage stores,2012,1,82.539,1.21154848
            General merchandise stores,2012,24,102.357,23.44734605
            Other retail,2012,165,84.759,194.6695926
        Transportation and warehousing,2012,833,91.588,909.5077958
            Air transportation,2012,457,95.885,476.6126089
            Rail transportation,2012,2,96.329,2.076217961
            Water transportation,2012,0,81.655,0
            Truck transportation,2012,348,87.54,397.5325565
            Transit and ground passenger transportation,2012,0,87.319,0
            Pipeline transportation,2012,0,99.306,0
            Other transportation and support activities,2012,21,93.315,22.50442051
            Warehousing and storage,2012,4,98.6,4.056795132
        Information,2012,29778,94.489,31514.7795
"            Publishing industries, except internet (includes software)",2012,297,97.385,304.9750988
            Motion picture and sound recording industries,2012,37,92.446,40.02336499
            Broadcasting and telecommunications4,2012,29130,94.537,30813.33235
"            Data processing, internet publishing, and other information services",2012,315,90.662,347.4443538
"        Finance, insurance, real estate, rental, and leasing",2012,236,97.263,242.6410865
            Finance and insurance,2012,234,97.239,240.644186
"                Federal Reserve banks, credit intermediation, and related activities",2012,12,100.035,11.99580147
"                Securities, commodity contracts, and investments",2012,5,97.525,5.126890541
                Insurance carriers and related activities,2012,217,97.25,223.1362468
"                Funds, trusts, and other financial vehicles",2012,0,98.841,0
            Real estate and rental and leasing,2012,1,99.218,1.007881634
                Real estate,2012,0,98.603,0
                    Housing,2012,0,99.532,0
                    Other real estate,2012,0,98.431,0
                Rental and leasing services and lessors of intangible assets,2012,1,100.012,0.999880014
        Professional and business services,2012,6015,92.82,6480.284421
"            Professional, scientific, and technical services",2012,5833,92.698,6292.476645
                Legal services,2012,1,102.807,0.972696412
                Computer systems design and related services,2012,526,106.426,494.2401293
"                Miscellaneous professional, scientific, and technical services",2012,5307,91.656,5790.128306
            Management of companies and enterprises,2012,162,95.899,168.927726
            Administrative and waste management services,2012,20,98.467,20.31137335
                Administrative and support services,2012,20,98.453,20.31426163
                Waste management and remediation services,2012,0,104.794,0
"        Educational services, health care, and social assistance",2012,1638,95.301,1718.764756
            Educational services,2012,1565,95.377,1640.85681
            Health care and social assistance,2012,73,93.435,78.12918071
                Ambulatory health care services,2012,2,103.884,1.925224289
                Hospitals,2012,70,93.032,75.24292716
                Nursing and residential care facilities,2012,0,102.231,0
                Social assistance,2012,0,104.829,0
"        Arts, entertainment, recreation, accommodation, and food services",2012,73,88.735,82.26742548
"            Arts, entertainment, and recreation",2012,70,88.344,79.23571493
"                Performing arts, spectator sports, museums, and related activities",2012,70,88.291,79.28327916
"                Amusements, gambling, and recreation industries",2012,0,103.496,0
